Variable,Series_Key,Name,Coefficient,Abs_Impact
197911182_lag2_t1,EI_BSSE_M_R2.freq=M.indic=BS-SAEM.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag2_t1,Services confidence indicator and survey results - monthly data,0.00029723672,0.00029723672
197905438_lag2_t1,EI_BSCO_M.freq=M.indic=BS-GES-NY.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag2_t1,Consumers confidence indicator and survey results - monthly data,0.00029560507,0.00029560507
197905455_lag1_t3,EI_BSCO_M.freq=M.indic=BS-MP-PR.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag1_t3,Consumers confidence indicator and survey results - monthly data,0.00026827375,0.00026827375
197905490_lag1_t3,EI_BSCO_M.freq=M.indic=BS-UE-NY.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag1_t3,Consumers confidence indicator and survey results - monthly data,-0.000263256,0.000263256
197911198_lag1_t3,EI_BSSE_M_R2.freq=M.indic=BS-SCI.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag1_t3,Services confidence indicator and survey results - monthly data,0.00025754469,0.00025754469
197938091_lag5_t2,EI_LMHU_M.freq=M.unit=THS_PER.s_adj=SA.indic=LM-UN-F-LE25.geo\TIME_PERIOD=LT_lag5_t2,Unemployment  - monthly data,0.00025120858,0.00025120858
197905419_lag3_t1,EI_BSCO_M.freq=M.indic=BS-FS-LY.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag3_t1,Consumers confidence indicator and survey results - monthly data,0.000235304,0.000235304
197905413_lag2_t1,EI_BSCO_M.freq=M.indic=BS-CSMCI.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag2_t1,Consumers confidence indicator and survey results - monthly data,0.00023234371,0.00023234371
197905455_lag2_t1,EI_BSCO_M.freq=M.indic=BS-MP-PR.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag2_t1,Consumers confidence indicator and survey results - monthly data,0.0002315688,0.0002315688
197905428_lag2_t1,EI_BSCO_M.freq=M.indic=BS-FS-NY.s_adj=SA.unit=BAL.geo\TIME_PERIOD=LT_lag2_t1,Consumers confidence indicator and survey results - monthly data,0.00023141968,0.00023141968
