Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2003-04-30,2003-05-31,ElasticNetNowcast,conditional_nowcast,,0.016285237851765517,287,287,287,287
2003-05-31,2003-06-30,ElasticNetNowcast,conditional_nowcast,0.014429663322300001,0.015119710938269694,287,287,287,287
2003-06-30,2003-07-31,ElasticNetNowcast,conditional_nowcast,,0.017816851088094512,287,287,287,287
2003-07-31,2003-08-31,ElasticNetNowcast,conditional_nowcast,,0.01506460207755653,287,287,287,287
2003-08-31,2003-09-30,ElasticNetNowcast,conditional_nowcast,0.024467559822267226,0.02061164144582409,287,287,287,287
2003-09-30,2003-10-31,ElasticNetNowcast,conditional_nowcast,,0.05181529071085056,287,287,287,287
2003-10-31,2003-11-30,ElasticNetNowcast,conditional_nowcast,,0.03261981132744074,287,287,287,287
2003-11-30,2003-12-31,ElasticNetNowcast,conditional_nowcast,0.017449285360253697,0.03451310020540577,287,287,287,287
2003-12-31,2004-01-31,ElasticNetNowcast,conditional_nowcast,,0.018262732505780914,287,287,287,287
2004-01-31,2004-02-29,ElasticNetNowcast,conditional_nowcast,,0.018262732505780914,287,287,287,287
2004-02-29,2004-03-31,ElasticNetNowcast,conditional_nowcast,0.007199002998647508,0.018262732505780914,287,287,287,287
2004-03-31,2004-04-30,ElasticNetNowcast,conditional_nowcast,,-0.0006145573838489821,287,287,287,287
2004-04-30,2004-05-31,ElasticNetNowcast,conditional_nowcast,,0.01739467521995229,287,287,287,287
2004-05-31,2004-06-30,ElasticNetNowcast,conditional_nowcast,0.02055353922605896,0.01742018001106828,287,287,287,287
2004-06-30,2004-07-31,ElasticNetNowcast,conditional_nowcast,,0.017832853716548403,287,287,287,287
2004-07-31,2004-08-31,ElasticNetNowcast,conditional_nowcast,,0.017321729993267358,287,287,287,287
2004-08-31,2004-09-30,ElasticNetNowcast,conditional_nowcast,0.0076337543517368545,0.01789108400661725,287,287,287,287
2004-09-30,2004-10-31,ElasticNetNowcast,conditional_nowcast,,-0.005549844513108599,287,287,287,287
2004-10-31,2004-11-30,ElasticNetNowcast,conditional_nowcast,,0.017146161955730304,287,287,287,287
2004-11-30,2004-12-31,ElasticNetNowcast,conditional_nowcast,0.023526567329474446,0.016789368976521307,287,287,287,287
2004-12-31,2005-01-31,ElasticNetNowcast,conditional_nowcast,,0.017518623762770077,287,287,287,287
2005-01-31,2005-02-28,ElasticNetNowcast,conditional_nowcast,,0.017518623762770077,287,287,287,287
2005-02-28,2005-03-31,ElasticNetNowcast,conditional_nowcast,0.02480157554495399,0.017518623762770077,287,287,287,287
2005-03-31,2005-04-30,ElasticNetNowcast,conditional_nowcast,,0.015935012255200196,287,287,287,287
2005-04-30,2005-05-31,ElasticNetNowcast,conditional_nowcast,,0.009790751684316161,287,287,287,287
2005-05-31,2005-06-30,ElasticNetNowcast,conditional_nowcast,0.00969989444835484,0.014670010183667334,287,287,287,287
2005-06-30,2005-07-31,ElasticNetNowcast,conditional_nowcast,,0.011592400360240163,287,287,287,287
2005-07-31,2005-08-31,ElasticNetNowcast,conditional_nowcast,,0.011912894009646163,287,287,287,287
2005-08-31,2005-09-30,ElasticNetNowcast,conditional_nowcast,0.02787582153533652,0.009463753357861081,287,287,287,287
2005-09-30,2005-10-31,ElasticNetNowcast,conditional_nowcast,,0.01796505195551258,287,287,287,287
