Forecast_Origin,Target_Date,Model,Prediction_Type,Actual,Predicted,n_raw_features,n_trans_features,n_sel_features,n_model_used_features
2003-04-30,2003-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2003-05-31,2003-06-30,MIDASNowcast,conditional_nowcast,0.014429663322300001,0.016127992,145,145,145,145
2003-06-30,2003-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2003-07-31,2003-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2003-08-31,2003-09-30,MIDASNowcast,conditional_nowcast,0.024467559822267226,0.017245192,145,145,145,145
2003-09-30,2003-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2003-10-31,2003-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2003-11-30,2003-12-31,MIDASNowcast,conditional_nowcast,0.017449285360253697,0.015639227,145,145,145,145
2003-12-31,2004-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-01-31,2004-02-29,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-02-29,2004-03-31,MIDASNowcast,conditional_nowcast,0.007199002998647508,0.015399034,145,145,145,145
2004-03-31,2004-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-04-30,2004-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-05-31,2004-06-30,MIDASNowcast,conditional_nowcast,0.02055353922605896,0.016375069,145,145,145,145
2004-06-30,2004-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-07-31,2004-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-08-31,2004-09-30,MIDASNowcast,conditional_nowcast,0.0076337543517368545,0.015249635,145,145,145,145
2004-09-30,2004-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-10-31,2004-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2004-11-30,2004-12-31,MIDASNowcast,conditional_nowcast,0.023526567329474446,0.0149212815,145,145,145,145
2004-12-31,2005-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-01-31,2005-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-02-28,2005-03-31,MIDASNowcast,conditional_nowcast,0.02480157554495399,0.015958209,145,145,145,145
2005-03-31,2005-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-04-30,2005-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-05-31,2005-06-30,MIDASNowcast,conditional_nowcast,0.00969989444835484,0.016537532,145,145,145,145
2005-06-30,2005-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-07-31,2005-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-08-31,2005-09-30,MIDASNowcast,conditional_nowcast,0.02787582153533652,0.014349339,145,145,145,145
2005-09-30,2005-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-10-31,2005-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2005-11-30,2005-12-31,MIDASNowcast,conditional_nowcast,0.0235413170287595,0.016048554,145,145,145,145
2005-12-31,2006-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-01-31,2006-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-02-28,2006-03-31,MIDASNowcast,conditional_nowcast,0.00010097746191650714,0.016280895,145,145,145,145
2006-03-31,2006-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-04-30,2006-05-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-05-31,2006-06-30,MIDASNowcast,conditional_nowcast,0.02710392762470626,0.016747067,145,145,145,145
2006-06-30,2006-07-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-07-31,2006-08-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-08-31,2006-09-30,MIDASNowcast,conditional_nowcast,0.017399197829519153,0.01520495,145,145,145,145
2006-09-30,2006-10-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-10-31,2006-11-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2006-11-30,2006-12-31,MIDASNowcast,conditional_nowcast,0.029246330548543753,0.016219936,145,145,145,145
2006-12-31,2007-01-31,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2007-01-31,2007-02-28,MIDASNowcast,conditional_nowcast,,,145,145,145,145
2007-02-28,2007-03-31,MIDASNowcast,conditional_nowcast,0.030091281023821637,0.016062815,145,145,145,145
2007-03-31,2007-04-30,MIDASNowcast,conditional_nowcast,,,145,145,145,145
