number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_elasticnet_alpha,params_elasticnet_l1,params_enet_cv,params_enet_fill,params_enet_l1_ratio,params_enet_max_iter,params_fa_comp,params_fast_screen_k,params_lasso_alpha,params_lgbm_alpha,params_lgbm_colsample,params_lgbm_lambda,params_lgbm_lr,params_lgbm_max_depth,params_lgbm_min_child,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_model,params_pca_comp,params_selector,params_step_size,params_train_window,params_variance_threshold,user_attrs_error_message,user_attrs_eval_mode,user_attrs_mae,user_attrs_mape,user_attrs_model,user_attrs_model_params,user_attrs_n_eval_points,user_attrs_n_features_input,user_attrs_n_features_used,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_runtime_sec,user_attrs_seed,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,0.005950725797354875,2026-04-21 10:12:31.468349,2026-04-21 10:12:41.920284,0 days 00:00:10.451935,,,,3.0,median,0.6876802097909916,5000.0,,,0.007547949317521508,,,,,,,,,,elasticnet,,lasso,3,60,,,common_frequency,0.004841641308628619,111.79002530177873,elasticnet,"{""l1_ratio"": 0.6876802097909916, ""cv"": 3, ""max_iter"": 5000, ""fill_strategy"": ""median""}",30,287,287,10,2,287,2,287,0.005950725797354875,1.73,123,lasso,"{""alpha"": 0.007547949317521508}",success,3,60,expanding,COMPLETE
1,0.005282288863647289,2026-04-21 10:12:31.472928,2026-04-21 10:13:11.639021,0 days 00:00:40.166093,,,,,,,,,45.0,,0.0031831055587761823,0.7001298848493802,0.004748798330239697,0.007161046539280987,-1.0,36.0,481.0,42.0,0.5543480594861425,lightgbm,,fast_screen,1,80,,,common_frequency,0.004227083501213981,67.87515921836058,lightgbm,"{""n_estimators"": 481, ""learning_rate"": 0.007161046539280987, ""num_leaves"": 42, ""max_depth"": -1, ""min_child_samples"": 36, ""subsample"": 0.5543480594861425, ""colsample_bytree"": 0.7001298848493802, ""reg_alpha"": 0.0031831055587761823, ""reg_lambda"": 0.004748798330239697}",30,287,287,30,45,287,45,287,0.005282288863647289,26.67,123,fast_screen,"{""top_n"": 45}",success,1,80,expanding,COMPLETE
2,0.005244367484115748,2026-04-21 10:12:31.717375,2026-04-21 10:13:06.355832,0 days 00:00:34.638457,,,,,,,,,41.0,,0.0005906990144479435,0.6522199736292946,0.04150936643175992,0.006717263373508481,5.0,30.0,274.0,45.0,0.5711620898710219,lightgbm,,fast_screen,1,60,,,common_frequency,0.0045494697990341604,104.65123192024701,lightgbm,"{""n_estimators"": 274, ""learning_rate"": 0.006717263373508481, ""num_leaves"": 45, ""max_depth"": 5, ""min_child_samples"": 30, ""subsample"": 0.5711620898710219, ""colsample_bytree"": 0.6522199736292946, ""reg_alpha"": 0.0005906990144479435, ""reg_lambda"": 0.04150936643175992}",30,287,287,30,41,287,41,287,0.005244367484115748,24.45,123,fast_screen,"{""top_n"": 41}",success,1,60,expanding,COMPLETE
3,0.006990239031786339,2026-04-21 10:12:31.848527,2026-04-21 10:13:12.733545,0 days 00:00:40.885018,,,,3.0,median,0.38576643669507293,1000.0,,,,,,,,,,,,,elasticnet,9.0,pca,1,120,,,common_frequency,0.005990835158341402,122.617172981241,elasticnet,"{""l1_ratio"": 0.38576643669507293, ""cv"": 3, ""max_iter"": 1000, ""fill_strategy"": ""median""}",30,287,287,30,9,287,9,287,0.006990239031786339,27.85,123,pca,"{""n_components"": 9}",success,1,120,expanding,COMPLETE
4,0.006996729653759667,2026-04-21 10:12:43.299877,2026-04-21 10:13:13.827272,0 days 00:00:30.527395,,,,5.0,median,0.588988824295847,2000.0,,,,,,,,,,,,,elasticnet,,variance_filter,3,100,0.0002673550375408926,,common_frequency,0.005975793381404198,151.46541243020883,elasticnet,"{""l1_ratio"": 0.588988824295847, ""cv"": 5, ""max_iter"": 2000, ""fill_strategy"": ""median""}",30,287,287,10,201,287,201,287,0.006996729653759667,22.27,123,variance_filter,"{""threshold"": 0.0002673550375408926}",success,3,100,expanding,COMPLETE
5,0.006146825508939598,2026-04-21 10:13:10.138917,2026-04-21 10:13:19.184123,0 days 00:00:09.045206,,0.00044071468129878896,0.8295086352820542,,,,,,,,0.08449312045845574,0.8893043464280606,0.09508024385563706,0.10573026595647905,10.0,36.0,198.0,16.0,0.7786710447420386,lightgbm,,elasticnet,1,100,,,common_frequency,0.004160288353808711,76.52799934471709,lightgbm,"{""n_estimators"": 198, ""learning_rate"": 0.10573026595647905, ""num_leaves"": 16, ""max_depth"": 10, ""min_child_samples"": 36, ""subsample"": 0.7786710447420386, ""colsample_bytree"": 0.8893043464280606, ""reg_alpha"": 0.08449312045845574, ""reg_lambda"": 0.09508024385563706}",30,287,287,30,53,287,53,287,0.006146825508939598,3.21,123,elasticnet,"{""alpha"": 0.00044071468129878896, ""l1_ratio"": 0.8295086352820542}",success,1,100,expanding,COMPLETE
6,0.010201390625323171,2026-04-21 10:13:13.811631,2026-04-21 10:13:23.776264,0 days 00:00:09.964633,,,,,,,,,,0.10129680486306805,0.025710616476899224,0.9670890754704977,0.038031555116328865,0.05672346812379765,10.0,8.0,246.0,46.0,0.5269846205169897,lightgbm,,lasso,3,120,,,common_frequency,0.00871034610991936,175.3230698050934,lightgbm,"{""n_estimators"": 246, ""learning_rate"": 0.05672346812379765, ""num_leaves"": 46, ""max_depth"": 10, ""min_child_samples"": 8, ""subsample"": 0.5269846205169897, ""colsample_bytree"": 0.9670890754704977, ""reg_alpha"": 0.025710616476899224, ""reg_lambda"": 0.038031555116328865}",30,287,287,10,5,287,5,287,0.010201390625323171,1.07,123,lasso,"{""alpha"": 0.10129680486306805}",success,3,120,expanding,COMPLETE
7,0.005151836692023147,2026-04-21 10:13:13.826523,2026-04-21 10:13:48.735360,0 days 00:00:34.908837,,,,5.0,mean,0.12792724236034259,1000.0,,,,,,,,,,,,,elasticnet,,variance_filter,1,60,2.127861122826389e-06,,common_frequency,0.004077851515621849,105.95521158539628,elasticnet,"{""l1_ratio"": 0.12792724236034259, ""cv"": 5, ""max_iter"": 1000, ""fill_strategy"": ""mean""}",30,287,287,30,287,287,287,287,0.005151836692023147,27.0,123,variance_filter,"{""threshold"": 2.127861122826389e-06}",success,1,60,expanding,COMPLETE
8,0.007018337804432967,2026-04-21 10:13:19.067996,2026-04-21 10:13:28.255063,0 days 00:00:09.187067,,0.11853467532518122,0.45506700633954045,,,,,,,,0.001606465980497485,0.9522543285362367,0.04061113910261888,0.0036438260226984193,10.0,49.0,326.0,43.0,0.7440232930324835,lightgbm,,elasticnet,3,120,,,common_frequency,0.006352190919161667,158.9602278033785,lightgbm,"{""n_estimators"": 326, ""learning_rate"": 0.0036438260226984193, ""num_leaves"": 43, ""max_depth"": 10, ""min_child_samples"": 49, ""subsample"": 0.7440232930324835, ""colsample_bytree"": 0.9522543285362367, ""reg_alpha"": 0.001606465980497485, ""reg_lambda"": 0.04061113910261888}",30,287,287,10,5,287,5,287,0.007018337804432967,1.12,123,elasticnet,"{""alpha"": 0.11853467532518122, ""l1_ratio"": 0.45506700633954045}",success,3,120,expanding,COMPLETE
9,0.0063137817155157205,2026-04-21 10:13:23.236217,2026-04-21 10:13:41.538452,0 days 00:00:18.302235,,,,,,,,,,,0.0018377967069724678,0.9508371641110736,0.00011857670837519952,0.0015847765771228014,10.0,19.0,246.0,26.0,0.9093639091274549,lightgbm,,variance_filter,3,60,0.00023107769401624738,,common_frequency,0.005721774430521442,143.7440439616442,lightgbm,"{""n_estimators"": 246, ""learning_rate"": 0.0015847765771228014, ""num_leaves"": 26, ""max_depth"": 10, ""min_child_samples"": 19, ""subsample"": 0.9093639091274549, ""colsample_bytree"": 0.9508371641110736, ""reg_alpha"": 0.0018377967069724678, ""reg_lambda"": 0.00011857670837519952}",30,287,287,10,208,287,208,287,0.0063137817155157205,6.29,123,variance_filter,"{""threshold"": 0.00023107769401624738}",success,3,60,expanding,COMPLETE
