number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_dfm_factor_order,params_dfm_k_factors,params_pca_comp,params_rolling_window_size,params_selector,params_step_size,params_train_window,params_window_type,user_attrs_dfm_factor_order,user_attrs_dfm_k_factors,user_attrs_mae,user_attrs_mixed_frequency,user_attrs_n_eval_points,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_rolling_window_size,user_attrs_runtime_sec,user_attrs_scale_x,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,0.016408607272164658,2026-04-25 11:11:02.884635,2026-04-25 11:24:05.381349,0 days 00:13:02.496714,,2,1,10.0,,pca,3,40,expanding,2,1,0.01277209786272099,False,272,91,10,287,10,287,0.016408607272164658,,781.47,True,pca,{'n_components': 10},success,3,40,expanding,COMPLETE
1,0.040836590552290636,2026-04-25 11:11:02.887233,2026-04-26 01:47:52.304756,0 days 14:36:49.417523,5.0,3,4,,,corr_top_n,1,30,expanding,3,4,0.018691552686335235,False,282,282,5,287,5,287,0.040836590552290636,,52608.42,True,corr_top_n,{'top_n': 5},success,1,30,expanding,COMPLETE
2,0.015076177438838018,2026-04-25 11:11:02.885584,2026-04-25 13:32:56.293059,0 days 02:21:53.407475,37.0,3,1,,,corr_top_n,3,30,expanding,3,1,0.012066800321754438,False,282,94,37,287,37,287,0.015076177438838018,,8512.24,True,corr_top_n,{'top_n': 37},success,3,30,expanding,COMPLETE
3,1.9935644693330106,2026-04-25 11:11:02.888419,2026-04-25 11:27:52.951731,0 days 00:16:50.063312,,1,1,16.0,,pca,3,30,expanding,1,1,0.2410100682139737,False,282,94,16,287,16,287,1.9935644693330106,,1008.89,True,pca,{'n_components': 16},success,3,30,expanding,COMPLETE
4,0.03385284417811349,2026-04-25 11:24:05.705927,2026-04-25 17:38:21.178771,0 days 06:14:15.472844,12.0,2,4,,,corr_top_n,3,40,expanding,2,4,0.014684175938045881,False,272,91,12,287,12,287,0.03385284417811349,,22454.47,True,corr_top_n,{'top_n': 12},success,3,40,expanding,COMPLETE
5,0.01468861881023732,2026-04-25 11:27:53.108699,2026-04-25 14:13:12.568739,0 days 02:45:19.460040,25.0,3,1,,,corr_top_n,1,20,expanding,3,1,0.012189135949803085,False,292,292,25,287,25,287,0.01468861881023732,,9918.49,True,corr_top_n,{'top_n': 25},success,1,20,expanding,COMPLETE
6,0.021478374364815235,2026-04-25 13:32:56.415967,2026-04-25 15:04:15.054576,0 days 01:31:18.638609,,2,2,18.0,,pca,3,20,expanding,2,2,0.014473346586706027,False,292,98,18,287,18,287,0.021478374364815235,,5477.75,True,pca,{'n_components': 18},success,3,20,expanding,COMPLETE
7,0.03964324486284263,2026-04-25 14:13:12.795856,2026-04-25 14:30:34.448614,0 days 00:17:21.652758,,1,1,9.0,80.0,pca,1,20,rolling,1,1,0.01804154614101481,False,292,292,9,287,9,287,0.03964324486284263,80.0,1040.67,True,pca,{'n_components': 9},success,1,20,rolling,COMPLETE
8,0.01992330556177424,2026-04-25 14:30:34.553158,2026-04-25 14:45:19.803690,0 days 00:14:45.250532,,3,1,3.0,40.0,pca,1,20,rolling,3,1,0.014377448058592347,False,292,292,3,287,3,287,0.01992330556177424,40.0,884.3,True,pca,{'n_components': 3},success,1,20,rolling,COMPLETE
9,0.013180985239876396,2026-04-25 14:45:19.885364,2026-04-26 19:06:49.664475,1 days 04:21:29.779111,50.0,2,3,,,corr_top_n,1,30,expanding,2,3,0.011016989649699542,False,282,282,50,287,50,287,0.013180985239876396,,102089.4,True,corr_top_n,{'top_n': 50},success,1,30,expanding,COMPLETE
