number,value,datetime_start,datetime_complete,duration,params_ae_dim,params_corr_top_n_k,params_dfm_factor_order,params_dfm_k_factors,params_elasticnet_alpha,params_elasticnet_l1,params_fa_comp,params_fast_screen_k,params_lasso_alpha,params_pca_comp,params_rolling_window_size,params_selector,params_step_size,params_train_window,params_window_type,user_attrs_dfm_factor_order,user_attrs_dfm_k_factors,user_attrs_mae,user_attrs_mixed_frequency,user_attrs_n_eval_points,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_rolling_window_size,user_attrs_runtime_sec,user_attrs_scale_x,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,,2026-04-19 21:06:01.193532,,,,,1,4,,,,77.0,,,80.0,fast_screen,1,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
1,,2026-04-19 21:06:01.190571,,,,,1,3,0.00025870406444979046,0.6628799468239251,,,,,,elasticnet,1,80,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
2,,2026-04-19 21:06:01.436052,,,,45.0,1,4,,,,,,,,corr_top_n,3,60,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
3,,2026-04-19 21:06:01.573568,,,,10.0,2,2,,,,,,,,corr_top_n,1,120,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
4,0.016227351094098924,2026-04-19 21:06:01.674765,2026-04-19 22:38:37.379359,0 days 01:32:35.704594,,,2,2,,,,,,7.0,,pca,3,100,expanding,2.0,2.0,0.012075864588639884,False,212.0,71.0,7.0,287.0,7.0,287.0,0.016227351094098924,,5526.82,True,pca,{'n_components': 7},success,3.0,100.0,expanding,COMPLETE
5,0.014491329199430714,2026-04-19 21:06:01.802411,2026-04-19 22:34:44.450854,0 days 01:28:42.648443,,,1,3,,,,,0.9452591346759912,,80.0,lasso,1,100,rolling,1.0,3.0,0.011456743472715136,False,212.0,212.0,5.0,287.0,5.0,287.0,0.014491329199430714,80.0,5261.5,True,lasso,{'alpha': 0.9452591346759912},success,1.0,100.0,rolling,COMPLETE
6,,2026-04-19 21:06:01.956063,,,,,1,4,,,9.0,,,,80.0,factor_analysis,3,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
7,,2026-04-19 21:06:02.099158,,,,,3,3,,,,48.0,,,40.0,fast_screen,1,80,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
8,,2026-04-19 21:06:02.256631,,,,22.0,3,4,,,,,,,,corr_top_n,1,60,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
9,,2026-04-19 21:06:02.778413,,,,43.0,1,4,,,,,,,40.0,corr_top_n,1,60,rolling,,,,,,,,,,,,,,,,,,,,,RUNNING
