number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_dfm_factor_order,params_dfm_k_factors,params_pca_comp,params_rolling_window_size,params_selector,params_step_size,params_train_window,params_window_type,user_attrs_dfm_factor_order,user_attrs_dfm_k_factors,user_attrs_mae,user_attrs_mixed_frequency,user_attrs_n_eval_points,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_rolling_window_size,user_attrs_runtime_sec,user_attrs_scale_x,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,0.01913965430089639,2026-04-25 11:10:23.415835,2026-04-25 12:44:04.122841,0 days 01:33:40.707006,,2,1,12.0,,pca,1,40,expanding,2.0,1.0,0.013667225720827273,False,272.0,272.0,12.0,408.0,12.0,408.0,0.01913965430089639,,5604.85,True,pca,{'n_components': 12},success,1.0,40.0,expanding,COMPLETE
1,0.028254435207062115,2026-04-25 11:10:23.426573,2026-04-25 15:18:05.330975,0 days 04:07:41.904402,23.0,2,2,,80.0,corr_top_n,3,20,rolling,2.0,2.0,0.013798914476730413,False,292.0,98.0,23.0,408.0,23.0,408.0,0.028254435207062115,80.0,14849.6,True,corr_top_n,{'top_n': 23},success,3.0,20.0,rolling,COMPLETE
2,0.013943744886919521,2026-04-25 11:10:23.774797,2026-04-25 15:21:16.623049,0 days 04:10:52.848252,26.0,1,1,,80.0,corr_top_n,1,40,rolling,1.0,1.0,0.011346008366957233,False,272.0,272.0,26.0,408.0,26.0,408.0,0.013943744886919521,80.0,15040.68,True,corr_top_n,{'top_n': 26},success,1.0,40.0,rolling,COMPLETE
3,0.0989245519620922,2026-04-25 11:10:23.901080,2026-04-25 14:13:46.702198,0 days 03:03:22.801118,,3,2,15.0,,pca,3,20,expanding,3.0,2.0,0.024344510837198026,False,292.0,98.0,15.0,408.0,15.0,408.0,0.0989245519620922,,10992.75,True,pca,{'n_components': 15},success,3.0,20.0,expanding,COMPLETE
4,0.016588725888370164,2026-04-25 11:10:24.026628,2026-04-25 12:12:27.942381,0 days 01:02:03.915753,,3,2,5.0,,pca,3,30,expanding,3.0,2.0,0.013229190065970946,False,282.0,94.0,5.0,408.0,5.0,408.0,0.016588725888370164,,3712.71,True,pca,{'n_components': 5},success,3.0,30.0,expanding,COMPLETE
5,,2026-04-25 11:10:24.154977,,,44.0,3,4,,,corr_top_n,3,30,expanding,,,,,,,,,,,,,,,,,,,,,RUNNING
6,0.01997567819580903,2026-04-25 11:10:24.283248,2026-04-25 14:47:39.031532,0 days 03:37:14.748284,22.0,3,4,,40.0,corr_top_n,3,40,rolling,3.0,4.0,0.01822360983857977,False,272.0,91.0,22.0,408.0,22.0,408.0,0.01997567819580903,40.0,13023.61,True,corr_top_n,{'top_n': 22},success,3.0,40.0,rolling,COMPLETE
7,0.022357991235809248,2026-04-25 11:10:24.413640,2026-04-25 15:46:22.590492,0 days 04:35:58.176852,12.0,1,3,,40.0,corr_top_n,1,20,rolling,1.0,3.0,0.016766894766270364,False,292.0,292.0,12.0,408.0,12.0,408.0,0.022357991235809248,40.0,16546.3,True,corr_top_n,{'top_n': 12},success,1.0,20.0,rolling,COMPLETE
8,1.3785853909981023,2026-04-25 11:10:24.579539,2026-04-25 11:42:52.201300,0 days 00:32:27.621761,,2,1,11.0,,pca,3,30,expanding,2.0,1.0,0.15534137301856396,False,282.0,94.0,11.0,408.0,11.0,408.0,1.3785853909981023,,1934.64,True,pca,{'n_components': 11},success,3.0,30.0,expanding,COMPLETE
9,0.042422404728472224,2026-04-25 11:10:24.778672,2026-04-25 15:02:35.737684,0 days 03:52:10.959012,,3,3,6.0,60.0,pca,1,20,rolling,3.0,3.0,0.016987351701192907,False,292.0,292.0,6.0,408.0,6.0,408.0,0.042422404728472224,60.0,13917.58,True,pca,{'n_components': 6},success,1.0,20.0,rolling,COMPLETE
10,0.015511453001491086,2026-04-25 19:16:09.455635,2026-04-25 20:35:40.349206,0 days 01:19:30.893571,41.0,2,1,,60.0,corr_top_n,1,30,rolling,2.0,1.0,0.012267680683746554,False,282.0,282.0,41.0,408.0,41.0,408.0,0.015511453001491086,60.0,4767.71,True,corr_top_n,{'top_n': 41},success,1.0,30.0,rolling,COMPLETE
