number,value,datetime_start,datetime_complete,duration,params_corr_top_n_k,params_dfm_factor_order,params_dfm_k_factors,params_pca_comp,params_rolling_window_size,params_selector,params_step_size,params_train_window,params_window_type,user_attrs_dfm_factor_order,user_attrs_dfm_k_factors,user_attrs_mae,user_attrs_mixed_frequency,user_attrs_n_eval_points,user_attrs_n_folds,user_attrs_n_model_used_vars,user_attrs_n_raw_features,user_attrs_n_sel_features,user_attrs_n_trans_features,user_attrs_rmse,user_attrs_rolling_window_size,user_attrs_runtime_sec,user_attrs_scale_x,user_attrs_selector_method,user_attrs_selector_params,user_attrs_status,user_attrs_step_size,user_attrs_train_window,user_attrs_window_type,state
0,0.014057713027277947,2026-04-24 23:41:06.456467,2026-04-24 23:45:47.990460,0 days 00:04:41.533993,6.0,1,1,,60.0,corr_top_n,3,20,rolling,1,1,0.01065537938950241,False,65,22,6,121,6,121,0.014057713027277947,60.0,220.67,True,corr_top_n,{'top_n': 6},success,3,20,rolling,COMPLETE
1,0.018514989429722784,2026-04-24 23:41:06.470224,2026-04-25 03:25:53.649824,0 days 03:44:47.179600,,3,4,15.0,40.0,pca,1,20,rolling,3,4,0.012875432598474396,False,65,65,15,121,15,121,0.018514989429722784,40.0,13455.93,True,pca,{'n_components': 15},success,1,20,rolling,COMPLETE
2,0.014545467245169658,2026-04-24 23:41:06.716226,2026-04-25 02:35:16.694498,0 days 02:54:09.978272,36.0,3,2,,60.0,corr_top_n,1,20,rolling,3,2,0.011239945914051338,False,65,65,36,121,36,121,0.014545467245169658,60.0,10400.64,True,corr_top_n,{'top_n': 36},success,1,20,rolling,COMPLETE
3,0.014292701966060944,2026-04-24 23:41:06.843764,2026-04-25 01:43:18.076483,0 days 02:02:11.232719,12.0,3,3,,40.0,corr_top_n,1,20,rolling,3,3,0.009450006112413109,False,65,65,12,121,12,121,0.014292701966060944,40.0,7285.88,True,corr_top_n,{'top_n': 12},success,1,20,rolling,COMPLETE
4,0.015920141211365844,2026-04-24 23:41:06.970136,2026-04-25 00:27:06.390640,0 days 00:45:59.420504,,3,3,5.0,,pca,3,20,expanding,3,3,0.012061144067697366,False,65,22,5,121,5,121,0.015920141211365844,,2674.39,True,pca,{'n_components': 5},success,3,20,expanding,COMPLETE
5,0.01765395028865692,2026-04-24 23:41:07.098429,2026-04-25 02:53:03.811752,0 days 03:11:56.713323,39.0,1,4,,40.0,corr_top_n,1,20,rolling,1,4,0.012419330356371744,False,65,65,39,121,39,121,0.01765395028865692,40.0,11443.06,True,corr_top_n,{'top_n': 39},success,1,20,rolling,COMPLETE
6,0.013565210921489226,2026-04-24 23:41:07.228158,2026-04-25 00:10:50.985947,0 days 00:29:43.757789,,1,4,16.0,40.0,pca,3,20,rolling,1,4,0.009824529630396848,False,65,22,16,121,16,121,0.013565210921489226,40.0,1622.68,True,pca,{'n_components': 16},success,3,20,rolling,COMPLETE
7,0.014774274712718844,2026-04-24 23:41:07.401107,2026-04-25 01:50:19.820767,0 days 02:09:12.419660,35.0,2,2,,40.0,corr_top_n,1,20,rolling,2,2,0.010961817372946206,False,65,65,35,121,35,121,0.014774274712718844,40.0,7621.03,True,corr_top_n,{'top_n': 35},success,1,20,rolling,COMPLETE
8,0.01504452994026418,2026-04-24 23:41:07.533870,2026-04-25 01:11:54.903158,0 days 01:30:47.369288,23.0,2,4,,,corr_top_n,3,20,expanding,2,4,0.011575995547099467,False,65,22,23,121,23,121,0.01504452994026418,,5388.57,True,corr_top_n,{'top_n': 23},success,3,20,expanding,COMPLETE
9,0.01743286275287555,2026-04-24 23:41:08.351712,2026-04-25 00:11:05.221431,0 days 00:29:56.869719,,1,4,3.0,,pca,1,40,expanding,1,4,0.01070164845753425,False,45,45,3,121,3,121,0.01743286275287555,,1654.78,True,pca,{'n_components': 3},success,1,40,expanding,COMPLETE
